EmployeeID;EnvironmentSatisfaction;JobSatisfaction;WorkLifeBalance;DateSurvey
1;3.0;4.0;2.0;31/12/2015
2;3.0;2.0;4.0;31/12/2015
3;2.0;2.0;1.0;31/12/2015
4;4.0;4.0;3.0;31/12/2015
5;4.0;1.0;3.0;31/12/2015
6;3.0;2.0;2.0;31/12/2015
7;1.0;3.0;1.0;31/12/2015
8;1.0;2.0;3.0;31/12/2015
9;2.0;4.0;3.0;31/12/2015
10;2.0;1.0;3.0;31/12/2015
11;3.0;4.0;3.0;31/12/2015
12;;4.0;3.0;31/12/2015
13;4.0;1.0;3.0;31/12/2015
14;1.0;2.0;2.0;31/12/2015
15;4.0;4.0;2.0;31/12/2015
16;3.0;4.0;4.0;31/12/2015
17;4.0;3.0;4.0;31/12/2015
18;1.0;4.0;3.0;31/12/2015
19;2.0;2.0;2.0;31/12/2015
20;1.0;1.0;3.0;31/12/2015
21;3.0;2.0;1.0;31/12/2015
22;1.0;2.0;2.0;31/12/2015
23;3.0;3.0;2.0;31/12/2015
24;2.0;3.0;3.0;31/12/2015
25;2.0;4.0;2.0;31/12/2015
26;2.0;4.0;3.0;31/12/2015
27;1.0;1.0;3.0;31/12/2015
28;4.0;4.0;3.0;31/12/2015
29;4.0;3.0;1.0;31/12/2015
30;4.0;4.0;3.0;31/12/2015
31;1.0;2.0;3.0;31/12/2015
32;4.0;4.0;3.0;31/12/2015
33;3.0;1.0;3.0;31/12/2015
34;3.0;2.0;3.0;31/12/2015
35;4.0;2.0;2.0;31/12/2015
36;4.0;4.0;3.0;31/12/2015
37;2.0;4.0;2.0;31/12/2015
38;3.0;2.0;4.0;31/12/2015
39;3.0;3.0;3.0;31/12/2015
40;3.0;2.0;2.0;31/12/2015
41;3.0;;3.0;31/12/2015
42;4.0;2.0;3.0;31/12/2015
43;4.0;2.0;3.0;31/12/2015
44;4.0;3.0;3.0;31/12/2015
45;2.0;1.0;3.0;31/12/2015
46;2.0;4.0;2.0;31/12/2015
47;3.0;4.0;2.0;31/12/2015
48;2.0;2.0;3.0;31/12/2015
49;4.0;3.0;2.0;31/12/2015
50;1.0;2.0;3.0;31/12/2015
51;4.0;3.0;3.0;31/12/2015
52;3.0;4.0;3.0;31/12/2015
53;1.0;1.0;3.0;31/12/2015
54;1.0;1.0;3.0;31/12/2015
55;3.0;4.0;1.0;31/12/2015
56;4.0;2.0;3.0;31/12/2015
57;3.0;1.0;3.0;31/12/2015
58;3.0;4.0;3.0;31/12/2015
59;3.0;3.0;3.0;31/12/2015
60;3.0;2.0;2.0;31/12/2015
61;3.0;2.0;2.0;31/12/2015
62;3.0;2.0;3.0;31/12/2015
63;4.0;3.0;3.0;31/12/2015
64;4.0;4.0;3.0;31/12/2015
