EmployeeID;JobInvolvement;PerformanceRating;SurveyDate
1;3;3;31/12/2015
2;2;4;31/12/2015
3;3;3;31/12/2015
4;2;3;31/12/2015
5;3;3;31/12/2015
6;3;3;31/12/2015
7;3;4;31/12/2015
8;3;4;31/12/2015
9;3;4;31/12/2015
10;3;3;31/12/2015
11;2;3;31/12/2015
12;3;3;31/12/2015
13;3;3;31/12/2015
14;2;3;31/12/2015
15;3;3;31/12/2015
16;3;3;31/12/2015
17;2;3;31/12/2015
18;3;3;31/12/2015
19;2;3;31/12/2015
20;3;3;31/12/2015
21;3;3;31/12/2015
22;2;4;31/12/2015
23;3;3;31/12/2015
24;1;3;31/12/2015
25;3;3;31/12/2015
26;3;3;31/12/2015
27;3;4;31/12/2015
28;3;3;31/12/2015
29;2;3;31/12/2015
30;2;3;31/12/2015
31;2;3;31/12/2015
32;2;3;31/12/2015
33;3;3;31/12/2015
34;3;3;31/12/2015
35;3;3;31/12/2015
36;3;3;31/12/2015
37;3;3;31/12/2015
38;3;3;31/12/2015
39;2;3;31/12/2015
40;2;3;31/12/2015
41;2;3;31/12/2015
42;2;3;31/12/2015
43;3;3;31/12/2015
44;3;3;31/12/2015
45;2;4;31/12/2015
46;3;3;31/12/2015
47;3;4;31/12/2015
48;3;4;31/12/2015
49;3;4;31/12/2015
50;2;3;31/12/2015
51;2;3;31/12/2015
52;2;3;31/12/2015
53;3;4;31/12/2015
54;3;3;31/12/2015
55;3;3;31/12/2015
56;3;3;31/12/2015
57;3;4;31/12/2015
58;3;3;31/12/2015
59;3;4;31/12/2015
60;3;3;31/12/2015
61;3;4;31/12/2015
62;4;3;31/12/2015
63;4;3;31/12/2015
64;4;3;31/12/2015
65;3;3;31/12/2015
66;2;3;31/12/2015
67;3;3;31/12/2015
68;2;3;31/12/2015
69;3;3;31/12/2015
70;3;3;31/12/2015
71;3;3;31/12/2015
72;4;4;31/12/2015
73;3;3;31/12/2015
74;3;3;31/12/2015
75;3;3;31/12/2015
76;3;4;31/12/2015
77;3;3;31/12/2015
78;3;3;31/12/2015
79;3;3;31/12/2015
80;3;4;31/12/2015
81;2;3;31/12/2015
82;2;3;31/12/2015
83;3;3;31/12/2015
84;3;3;31/12/2015
85;3;3;31/12/2015
86;3;3;31/12/2015
87;4;3;31/12/2015
88;2;4;31/12/2015
89;3;3;31/12/2015
90;4;3;31/12/2015
91;1;4;31/12/2015
92;2;4;31/12/2015
93;2;3;31/12/2015
94;3;3;31/12/2015
95;2;3;31/12/2015
96;3;3;31/12/2015
97;3;4;31/12/2015
98;3;3;31/12/2015
99;3;3;31/12/2015
100;2;3;31/12/2015
101;1;4;31/12/2015
102;3;3;31/12/2015
103;1;3;31/12/2015
104;3;3;31/12/2015
105;1;3;31/12/2015
106;1;4;31/12/2015
107;4;3;31/12/2015
108;3;3;31/12/2015
